case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow,personality,decisions,distance,objective_distance,mean_energy,stationary_fraction,retreat_fraction,low_hp_decisions,low_hp_retreats,casts_1,casts_2,casts_3,casts_4,casts_5,damage,damage_taken,healed,shielded,control,model_checksum,opponent_checksum
50,10,34,3,0,2160000050,0,3,0,1621,1,0,9,27,4654,0,STEADY,541,3.61056,2.117,0.136401,0.0406654,0.495379,163,71,24,3,0,0,0,131,124,0,0,326,e617ab48,0
50,10,34,3,0,2160000050,1,3,0,715,1,0,48,14,2530,0,STEADY,239,4.06371,3.70402,0.215477,0.154812,0.32636,89,44,11,2,1,0,0,92,124,0,0,148,e617ab48,0
51,11,35,4,0,2160000051,0,0,1,2224,1,101,0,34,6204,0,STEADY,742,3.21486,4.41063,0.133283,0.136119,0.0458221,0,0,14,9,0,6,5,110,16,0,0,110,e617ab48,0
51,11,35,4,0,2160000051,1,0,1,2020,1,85,0,25,4972,0,STEADY,674,3.03413,5.42419,0.123427,0.115727,0.0237389,0,0,8,7,0,5,5,110,53,21,18,10,e617ab48,0
52,12,36,5,0,2160000052,0,1,0,1046,1,0,51,14,2456,0,STEADY,349,4.90794,7.3766,0.371779,0.217765,0.157593,84,7,8,2,2,1,1,42,111,0,0,0,e617ab48,0
52,12,36,5,0,2160000052,1,1,0,1514,1,0,22,13,2783,0,STEADY,505,2.97971,6.78635,0.138846,0.118812,0,333,0,6,1,4,2,0,71,111,0,0,39,e617ab48,0
53,13,37,0,0,2160000053,0,2,0,950,1,0,133,18,3160,0,STEADY,317,5.57324,3.59263,0.169293,0.347003,0.353312,106,41,16,0,1,0,1,17,104,0,0,431,e617ab48,0
53,13,37,0,0,2160000053,1,2,0,1608,1,0,31,27,4764,0,STEADY,536,4.48794,3.07797,0.12403,0.333955,0.223881,78,31,24,0,1,0,2,119,104,0,0,260,e617ab48,0
54,14,38,1,0,2160000054,0,3,1,939,1,113,0,18,2497,0,STEADY,313,1.73624,1.8661,0.160911,0.028754,0.0830671,0,0,5,10,1,1,1,104,0,0,0,19,e617ab48,0
54,14,38,1,0,2160000054,1,3,1,729,1,113,0,13,1920,0,STEADY,243,1.97476,2.01753,0.192535,0.00823045,0.0823045,0,0,2,8,1,1,1,104,0,0,0,1,e617ab48,0
55,15,39,2,0,2160000055,0,0,0,2474,1,0,74,23,4101,0,STEADY,825,2.54965,3.98656,0.117722,0.167273,0.0654545,343,10,9,12,0,1,1,40,118,0,0,98,e617ab48,0
55,15,39,2,0,2160000055,1,0,0,2638,1,0,30,21,4286,0,STEADY,880,2.29861,4.1599,0.102017,0.127273,0.0284091,116,0,6,10,0,3,2,84,118,0,0,33,e617ab48,0
56,16,0,3,0,2160000056,0,1,0,505,1,0,42,9,1789,0,STEADY,169,3.85461,2.31165,0.270302,0.106509,0.0828402,65,4,6,2,0,0,1,71,115,0,0,79,e617ab48,0
56,16,0,3,0,2160000056,1,1,1,669,1,28,0,11,2182,0,STEADY,223,3.31045,6.24377,0.214238,0.0762332,0.0403587,10,0,8,2,0,0,1,113,87,0,0,0,e617ab48,0
57,17,1,4,0,2160000057,0,2,1,445,1,18,0,10,1520,0,STEADY,149,3.6778,1.89923,0.481893,0.288591,0.14094,27,7,5,2,0,2,1,136,76,6,0,116,e617ab48,0
57,17,1,4,0,2160000057,1,2,1,584,1,10,0,12,2013,0,STEADY,195,3.05341,2.18016,0.3538,0.338462,0.338462,46,37,5,3,0,4,0,136,90,18,0,121,e617ab48,0
58,18,2,5,0,2160000058,0,3,1,964,1,94,0,18,2580,0,STEADY,322,3.37976,3.04569,0.203186,0.0962733,0.158385,0,0,16,2,0,0,0,94,35,0,0,0,e617ab48,0
58,18,2,5,0,2160000058,1,3,1,1662,1,91,0,27,4014,0,STEADY,554,1.99485,2.90092,0.146572,0.0685921,0.140794,0,0,22,3,0,0,2,94,38,0,0,6,e617ab48,0
59,19,3,0,0,2160000059,0,0,1,1563,1,33,0,25,4450,0,STEADY,521,3.64709,3.06807,0.15291,0.289827,0.241843,140,25,22,1,0,1,1,100,99,0,0,108,e617ab48,0
59,19,3,0,0,2160000059,1,0,1,1474,1,12,0,18,3376,0,STEADY,492,3.21557,3.15678,0.14762,0.191057,0.170732,149,26,16,0,0,1,1,97,120,0,6,106,e617ab48,0
60,20,4,1,0,2160000060,0,1,0,1290,1,0,4,19,3549,0,STEADY,430,3.96373,2.55518,0.177028,0.327907,0.4,63,23,15,1,0,1,2,119,102,0,4,257,e617ab48,0
60,20,4,1,0,2160000060,1,1,0,783,1,0,88,12,2508,0,STEADY,261,4.76068,2.69679,0.244069,0.291188,0.295019,61,29,7,1,1,2,1,48,102,0,18,148,e617ab48,0
61,21,5,2,0,2160000061,0,2,1,1432,1,70,0,19,2804,0,STEADY,478,2.83824,3.74576,0.138797,0.00627615,0.246862,0,0,4,13,1,0,1,141,54,0,0,150,e617ab48,0
61,21,5,2,0,2160000061,1,2,1,1111,1,96,0,19,2801,0,STEADY,371,2.63228,3.23279,0.135547,0.0161725,0.183288,0,0,3,13,2,0,1,141,28,0,0,59,e617ab48,0
62,22,6,3,0,2160000062,0,3,0,947,1,0,131,12,2808,0,STEADY,316,3.15899,2.26991,0.190652,0.167722,0.056962,132,10,1,4,2,0,5,0,175,0,26,0,e617ab48,0
62,22,6,3,0,2160000062,1,3,0,1200,1,0,83,17,3886,0,STEADY,400,2.75703,1.99884,0.175895,0.2075,0.0625,160,20,4,4,5,0,4,48,175,0,34,0,e617ab48,0
63,23,7,4,0,2160000063,0,0,1,313,1,9,0,9,1330,0,STEADY,105,2.98338,1.78698,0.486438,0.257143,0.32381,45,21,4,5,0,0,0,100,112,16,0,101,e617ab48,0
63,23,7,4,0,2160000063,1,0,0,292,1,0,45,7,1156,0,STEADY,98,3.11854,2.35692,0.472724,0.204082,0.0714286,15,0,2,4,0,0,1,55,112,7,0,24,e617ab48,0
